id,tienda,tipo,latitud,longitud
STOP::TABALAOPA,TABALAOPA,STOP,28.68090183,-106.0024087
STOP::TERRAGONA,TERRAGONA,STOP,28.74400206,-106.1335491
STOP::TERRAZAS,TERRAZAS,STOP,28.60325896,-106.1016244
STOP::TOPACIO,TOPACIO,STOP,28.6274061,-105.951631
STOP::TRIBUNAL_POPULAR,TRIBUNAL POPULAR,STOP,28.70507523,-106.0901807
STOP::TRILLENIUM,TRILLENIUM,STOP,28.61960972,-106.1083876
STOP::TRINIDAD,TRINIDAD,STOP,28.68969209,-106.0942384
STOP::UNIVERSIDAD,UNIVERSIDAD,STOP,28.64470805,-106.0784372
STOP::URUGUAY,URUGUAY,STOP,28.76745185,-106.1695921
STOP::V._CARRANZA,V. CARRANZA,STOP,28.63417791,-106.0656271
STOP::VALLARTA,VALLARTA,STOP,28.66634874,-106.0987488
STOP::VALLE_DEL_ANGEL,VALLE DEL ANGEL,STOP,28.65876613,-106.1304726
STOP::VALLE_ESCONDIDO,VALLE ESCONDIDO,STOP,28.65593977,-106.1493364
STOP::VARSOVIA,VARSOVIA,STOP,28.63603852,-106.0894715
STOP::VIALIDAD_CH-P,VIALIDAD CH-P,STOP,28.60029982,-106.102374
STOP::VICTORIA_II,VICTORIA II,STOP,28.64693502,-106.069081
STOP::VILLA,VILLA,STOP,28.69054648,-106.1124754
STOP::VILLA_DEL_REY,VILLA DEL REY,STOP,28.74904113,-106.1285766
STOP::VILLA_DORADA,VILLA DORADA,STOP,28.69158881,-106.1382097
STOP::VILLAS_DEL_REAL,VILLAS DEL REAL,STOP,28.73669386,-106.1229944
STOP::VILLAS_DEL_SOL,VILLAS DEL SOL,STOP,28.69882296,-106.145334
STOP::VISTAS_DE_SAN_GUILLERMO,VISTAS DE SAN GUILLERMO,STOP,28.62977502,-105.9566933
STOP::VISTAS_DEL_NORTE,VISTAS DEL NORTE ,STOP,28.78715189,-106.1581207
STOP::VISTAS_DEL_SOL,VISTAS DEL SOL,STOP,28.62751429,-106.1184751
STOP::VOLVO,VOLVO,STOP,28.63429282,-106.0389694
STOP::ZARAGOZA,ZARAGOZA,STOP,28.67244463,-106.1063612
STOP::ZARCO,ZARCO,STOP,28.6119997,-106.0904062
STOP::ZOOTECNIA,ZOOTECNIA,STOP,28.58434962,-106.1021359
STOP::Test1,Test1,STOP,28.59364,-105.888562
